Zip Code,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
83206,0.084,0.193,0.176,0.195,0.352

83276,0.151,0.12,0.102,0.243,0.385

83833,0.038,0.059,0.15,0.152,0.601

83262,0.095,0.197,0.175,0.229,0.304

83320,0.155,0.107,0.102,0.13,0.506

83602,0.057,0.038,0.038,0.549,0.318

83841,0.088,0.116,0.119,0.241,0.436

83449,0.096,0.202,0.188,0.247,0.268

83853,0.045,0.171,0.061,0.185,0.537

83213,0.107,0.213,0.159,0.222,0.298

83327,0.186,0.03,0.047,0.098,0.639

83606,0.113,0.095,0.17,0.24,0.381

83276,0.1,0.181,0.191,0.202,0.326

83312,0.134,0.223,0.102,0.149,0.392

83435,0.119,0.228,0.196,0.239,0.218

83537,0.037,0.112,0.127,0.25,0.475

83251,0.069,0.029,0.199,0.244,0.458

83716,0.206,0.044,0.038,0.173,0.539

83263,0.131,0.118,0.085,0.256,0.41

83421,0.111,0.206,0.202,0.247,0.233

83616,0.119,0.136,0.111,0.198,0.436

83352,0.211,0.202,0.089,0.153,0.345

83533,0.045,0.094,0.164,0.275,0.423

83435,0.099,0.208,0.192,0.249,0.252
